X,Y
8915.711583,201160.9656
8948.853773,178065.1078
8896.542298,171659.6416
8895.671826,174828.1101
8938.042785,164739.1985
8926.959696,162823.4037
8966.680188,130544.127
8978.648866,128657.558
9007.015427,139153.1099
9009.453001,136937.4998
8997.993253,184149.5952
9071.521071,100883.0695
9064.412425,98972.31369
9028.128472,120479.4022
9038.422971,88796.73277
9058.884737,64100.01235
9089.371421,85691.75457
9129.629816,64189.705
9150.331455,34174.89283
9179.723764,25698.47256
9200.731046,18559.64751
9218.324414,23350.81477
9230.076511,21815.74203
9251.076696,16858.78838
9237.704941,10359.71215
9257.884651,6714.128268
9269.63107,6621.749539
9278.077136,3852.320896
9289.840589,3229.684326
9300.848865,1218.312966
9345.415703,452.9855154
9385.714083,340.5306726
9424.404162,131.8824801
9437.906511,61.7755993
